Ethoslab,Grian,Pearl,Geminitay,Scar,FalseSymmetry,Zedaph,TangoTek,Hypnotizd,Cubfan135,Keralis,Docm77,XB,impulseSV,MumboJumbo,VintageBeef,Xisuma,JoeHills,iskall85,iJevin,Stress,ZombieCleo,RenDog,BdoubleO100,Run No.
,,,,986.1694915,,,,,1000.0,,,,,,,,,,,,,,,1
,,,,,,,,1000.0,986.1694915,,,,,,,,,,,,,,,2
,,,,,,,,986.1694915,,,,,,,,1000.0,,,,,,,,3
,,,1000.0,,,,,,,,,,,,,986.1694915,,,,,,,,4
,,,986.1694915,,,,,,,,,,,,,,,,,,,,1000.0,5
,1000.0,,,,,,,,,,,,,,,,,,,,,,977.2307692,6
1000.0,986.1694915,,,,,,,,,,,,,,,,,,,,,,,7
1018.169492,,,,986.1694915,,,,,,,,,,,,,,,,,,,,8
,,,,1004.338983,,,,,986.1694915,,,,,,,,,,,,,,,9
,,,,,,,,986.1694915,982.8874402,,,,,,,,,,,,,,,10
,,,,,,,,972.3389831,,,,,,,,986.1694915,,,,,,,,11
,,,,,,,,,,,,,,,,972.3389831,,,,,,,977.2307692,12
,986.1694915,,,,,,,,,,,,,,,,,,,,,,963.4002608,13
,1004.338983,,986.1694915,,,,,,,,,,,,,,,,,,,,,14
,,,1004.338983,1004.338983,,,,,,,,,,,,,,,,,,,,15
1018.169492,,,,990.5084746,,,,,,,,,,,,,,,,,,,,16
1036.338983,,,,,,,,,982.8874402,,,,,,,,,,,,,,,17
,,,,,,,,972.3389831,1001.056932,,,,,,,,,,,,,,,18
,1004.338983,,,,,,,990.5084746,,,,,,,,,,,,,,,,19
,1022.508475,,1004.338983,,,,,,,,,,,,,,,,,,,,,20
,,,1022.508475,,,,,,,,,,1000.0,,,,,,,,,,,21
,,,,990.5084746,,,,,,,,,1018.169492,,,,,,,,,,,22
1036.338983,,,,976.6779661,,,,,,,,,,,,,,,,,,,,23
1033.056932,,,,,,,,,,,,,,,,,,,1000.0,,,,,24
,,,,,,,,,,,,,1018.169492,,,,,,986.1694915,,,,,25
,,,,,,,,,,,,,1036.338983,,,,,,986.1694915,,,,,26
,,,1022.508475,,,,,,,,,,,,,,,,1004.338983,,,,,27
,,,1019.226423,976.6779661,,,,,,,,,,,,,,,,,,,,28
,,,,994.8474576,,,,,,,,,,,,972.3389831,,,,,,,,29
,,,,,,,,,,,,,,,,958.5084746,,1000.0,,,,,,30
,,,,,,,,,,,,,,,,958.5084746,,986.1694915,,,,,,31
,,,,,,,,,,,,,,,,944.6779661,,986.1694915,,,,,,32
,,,,,,,,,,,,,,,,944.6779661,,972.3389831,,,,,,33
,,,,,,,,,,,,,,,,930.8474576,,972.3389831,,,,,,34
,,,,,,,,,,,,,,,,949.0169492,,972.3389831,,,,,,35
,,,,,,1000.0,,,,,,,,,,,,990.5084746,,,,,,36
,,,,,,986.1694915,,,,,,,,,,,,,,,,,,37
,,,,,,1004.338983,,,,,,,,,,,,,,,,,,38
,,,,994.8474576,,,,,,,,,,,,,,,,,,,,39
,,,,1013.016949,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,1000.0,,,43
,,,,,,,,,,,1000.0,,,,,,,,,,1018.169492,,,44
,,,,,,,,,,,986.1694915,,,,,949.0169492,,,,,,,,45
,,,,,,,,,1001.056932,,,,,,,967.1864407,,,,,,,,46
,,,1019.226423,,,,,,1019.226423,,,,,,,,,,,,,,,47
,,,1005.395915,,,,,,,,,,,,,,,,,,1018.169492,,,48
,,,,,,,,,,,986.1694915,,,,,,,,,,1004.338983,,,49
,,,,,,,,,,,972.3389831,,,,,967.1864407,,,,,,,,50
,,,,,,,,,1019.226423,,,,,,,944.4172099,,,,,,,,51
,,,1005.395915,,,,,,1037.395915,,,,,,,,,,,,,,,52
,1022.508475,,991.5654063,,,,,,,,,,,,,,,,,,,,,53
,1031.739244,,,,,,,990.5084746,,,,,,,,,,,,,,,,54
,,,,,,,,999.7392438,,,972.3389831,,,,,,,,,,,,,55
,,,,,,,,,,,990.5084746,,,,,944.4172099,,,,,,,,56
,,,,,,,,,1037.395915,,,,,,,930.5867014,,,,,,,,57
,,,,1013.016949,,,,,1023.565406,,,,,,,,,,,,,,,58
,1031.739244,,,999.1864407,,,,,,,,,,,,,,,,,,,,59
,1040.970013,,,,,,,999.7392438,,,,,,,,,,,,,,,,60
,,,,,,,,996.4571925,,,990.5084746,,,,,,,,,,,,,61
,,,,,,,,,,,976.6779661,,,,,,,,1004.338983,,,,,62
,,,,,,,,,,,,,,,,,,,1001.056932,,,,963.4002608,63
,,,,,,,,,1023.565406,,,,,,,,,,,,,,940.63103,64
,,,,,,,,,1032.796176,,,,,,,,,,,,1004.338983,,,65
,,,,,,,,996.4571925,,,,,,,,,,,,,1022.508475,,,66
,,,,,,,,993.1751412,,,976.6779661,,,,,,,,,,,,,67
,,,,,,,,,,,953.9087353,,,,,,,,1001.056932,,,,,68
,,,,,,,,,,,,,,,,,,,997.7748805,,,,940.63103,69
,,,,,,,,,,,,,,,,,,,997.7748805,,,,958.8005215,70
,,,,,,,,,,,,,,,,,,,994.4928292,,,,,71
,,,,,,,,,,,,,,,,,,,1003.723598,,,,,72
,,,,,,,,,,,,,,,,930.5867014,,,1012.954368,,,,,73
,,,,,,,,,,,,,,,,948.756193,,,,,,,,74
,,,,,,,,,,,,,,,,966.9256845,,,,1000.0,,,,75
,,,,,,,,,,,,,,,,,,,,986.1694915,,,,76
,,,,,,,,,,,,,,,,,,,,972.3389831,,,,77
,,,,,,,,,,,,,,,,,,,,958.5084746,,,,78
,,,,,,1004.338983,,,,,,,,,,,,,,944.6779661,,,,79
,,,,,,990.5084746,,,,,,,,,,,,,,,,,,80
,,,,,,1008.677966,,,,,,,,,,,1000.0,,,,,,,81
,,,,,,,,,,,,,,,,,986.1694915,,,,,,,82
