Ethoslab,Pearl,Grian,Geminitay,Scar,Cubfan135,Hypnotizd,TangoTek,Keralis,Zedaph,XB,FalseSymmetry,MumboJumbo,impulseSV,Docm77,JoeHills,VintageBeef,iskall85,iJevin,Stress,Xisuma,BdoubleO100,RenDog,ZombieCleo,Run No.
,,,,981.7001304,1000.0,,,,,,,,,,,,,,,,,,,1
,,,,,981.7001304,1000.0,,,,,,,,,,,,,,,,,,2
,,,,,,981.7001304,,,,,,,,,,,,,,1000.0,,,,3
,,,1000.0,,,,,,,,,,,,,,,,,981.7001304,,,,4
,,,981.7001304,,,,,,,,,,,,,,,,,,1000.0,,,5
,,1000.0,,,,,,,,,,,,,,,,,,,981.7001304,,,6
1000.0,,981.7001304,,,,,,,,,,,,,,,,,,,,,,7
1013.70013,,,,981.7001304,,,,,,,,,,,,,,,,,,,,8
,,,,995.4002608,981.7001304,,,,,,,,,,,,,,,,,,,9
,,,,,978.4180791,981.7001304,,,,,,,,,,,,,,,,,,10
,,,,,,963.4002608,,,,,,,,,,,,,,981.7001304,,,,11
,,,,,,,,,,,,,,,,,,,,963.4002608,981.7001304,,,12
,,981.7001304,,,,,,,,,,,,,,,,,,,963.4002608,,,13
,,995.4002608,981.7001304,,,,,,,,,,,,,,,,,,,,,14
,,,995.4002608,995.4002608,,,,,,,,,,,,,,,,,,,,15
1013.70013,,,,977.1003911,,,,,,,,,,,,,,,,,,,,16
1027.400261,,,,,978.4180791,,,,,,,,,,,,,,,,,,,17
,,,,,992.1182095,963.4002608,,,,,,,,,,,,,,,,,,18
,,995.4002608,,,,977.1003911,,,,,,,,,,,,,,,,,,19
,,1009.100391,995.4002608,,,,,,,,,,,,,,,,,,,,,20
,,,1009.100391,,,,,,,,,,1000.0,,,,,,,,,,,21
,,,,977.1003911,,,,,,,,,1013.70013,,,,,,,,,,,22
1027.400261,,,,958.8005215,,,,,,,,,,,,,,,,,,,,23
1024.118209,,,,,,,,,,,,,,,,,,1000.0,,,,,,24
,,,,,,,,,,,,,1013.70013,,,,,981.7001304,,,,,,25
,,,,,,,,,,,,,1027.400261,,,,,981.7001304,,,,,,26
,,,1009.100391,,,,,,,,,,,,,,,995.4002608,,,,,,27
,,,1005.81834,958.8005215,,,,,,,,,,,,,,,,,,,,28
,,,,972.5006519,,,,,,,,,,,,,,,,963.4002608,,,,29
,,,,,,,,,,,,,,,,,1000.0,,,945.1003911,,,,30
,,,,,,,,,,,,,,,,,981.7001304,,,945.1003911,,,,31
,,,,,,,,,,,,,,,,,981.7001304,,,926.8005215,,,,32
,,,,,,,,,,,,,,,,,963.4002608,,,926.8005215,,,,33
,,,,,,,,,,,,,,,,,963.4002608,,,908.5006519,,,,34
,,,,,,,,,,,,,,,,,963.4002608,,,922.2007823,,,,35
,,,,,,,,,1000.0,,,,,,,,977.1003911,,,,,,,36
,,,,,,,,,981.7001304,,,,,,,,,,,,,,,37
,,,,,,,,,995.4002608,,,,,,,,,,,,,,,38
,,,,972.5006519,,,,,,,,,,,,,,,,,,,,39
,,,,986.2007823,,,,,,,,,,,,,,,,,,,,40
,,,,,,,,,,,,,,,,,,,,,,,,41
,,,,,,,,,,,,,,,,,,,,,,,,42
,,,,,,,,,,,,,,,,,,,,,,,1000.0,43
,,,,,,,,,,,,,,1000.0,,,,,,,,,1013.70013,44
,,,,,,,,,,,,,,981.7001304,,,,,,922.2007823,,,,45
,,,,,992.1182095,,,,,,,,,,,,,,,935.9009126,,,,46
,,,1005.81834,,1005.81834,,,,,,,,,,,,,,,,,,,47
,,,987.5184702,,,,,,,,,,,,,,,,,,,,1013.70013,48
,,,,,,,,,,,,,,981.7001304,,,,,,,,,995.4002608,49
,,,,,,,,,,,,,,963.4002608,,,,,,935.9009126,,,,50
,,,,,1005.81834,,,,,,,,,,,,,,,917.601043,,,,51
,,,987.5184702,,1019.51847,,,,,,,,,,,,,,,,,,,52
,,1009.100391,969.2186006,,,,,,,,,,,,,,,,,,,,,53
,,1022.800522,,,,977.1003911,,,,,,,,,,,,,,,,,,54
,,,,,,990.8005215,,,,,,,,963.4002608,,,,,,,,,,55
,,,,,,,,,,,,,,977.1003911,,,,,,917.601043,,,,56
,,,,,1019.51847,,,,,,,,,,,,,,,899.3011734,,,,57
,,,,986.2007823,1001.218601,,,,,,,,,,,,,,,,,,,58
,,1022.800522,,967.9009126,,,,,,,,,,,,,,,,,,,,59
,,1036.500652,,,,990.8005215,,,,,,,,,,,,,,,,,,60
,,,,,,987.5184702,,,,,,,,977.1003911,,,,,,,,,,61
,,,,,,,,,,,,,,958.8005215,,,,995.4002608,,,,,,62
,,,,,,,,,,,,,,,,,,992.1182095,,,963.4002608,,,63
,,,,,1001.218601,,,,,,,,,,,,,,,,945.1003911,,,64
,,,,,1014.918731,,,,,,,,,,,,,,,,,,995.4002608,65
,,,,,,987.5184702,,,,,,,,,,,,,,,,,1009.100391,66
,,,,,,984.2364189,,,,,,,,958.8005215,,,,,,,,,,67
,,,,,,,,,,,,,,940.5006519,,,,992.1182095,,,,,,68
,,,,,,,,,,,,,,,,,,988.8361582,,,945.1003911,,,69
,,,,,,,,,,,,,,,,,,988.8361582,,,958.8005215,,,70
,,,,,,,,,,,,,,,,,,985.5541069,,,,,,71
,,,,,,,,,,,,,,,,,,999.2542373,,,,,,72
,,,,,,,,,,,,,,,,,,1012.954368,,899.3011734,,,,73
,,,,,,,,,,,,,,,,,,,,913.0013038,,,,74
,,,,,,,,,,,,,,,,,,,1000.0,926.7014342,,,,75
,,,,,,,,,,,,,,,,,,,981.7001304,,,,,76
,,,,,,,,,,,,,,,,,,,963.4002608,,,,,77
,,,,,,,,,,,,,,,,,,,945.1003911,,,,,78
,,,,,,,,,995.4002608,,,,,,,,,,926.8005215,,,,,79
,,,,,,,,,977.1003911,,,,,,,,,,,,,,,80
,,,,,,,,,990.8005215,,,,,,1000.0,,,,,,,,,81
,,,,,,,,,,,,,,,981.7001304,,,,,,,,,82
,,,,,,,,,,,,,,,963.4002608,,,,,,,,,83
,1000.0,,,,,,,,,,,,,,977.1003911,,,,,,,,,84
,981.7001304,,,,,,,,,,,,,,,,,,,,,,1009.100391,85
,981.7001304,,,,,,,,,,,,,,,,,,,,,,990.8005215,86
,963.4002608,,,,,,,,,,,,,,,,,,,,,,990.8005215,87
,945.1003911,,,,,,,,,,,,,,,,,,,,,,990.8005215,88
,945.1003911,,,,,,,,,,,,,,,,,,,,,,972.5006519,89
,958.8005215,1036.500652,,,,,,,,,,,,,,,,,,,,,,90
,958.8005215,1050.200782,,,,,,,,,,,,,,,,,,,,,,91
,972.5006519,,,,,,,,,,,,,,,,,,,,,,,92
,969.2186006,,,,,,,,,,,,,,,,,,,,,,,93
,965.9365493,,,,,,,,,,,,,,,,,,,,,,,94
